ID,Country,CompTotal,Currency,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DevType,JobSat,RemoteWork,EdLevel,OrgSize,Age,Employment,AISelect
6015,Canada,160000,CAD	Canadian dollar,11,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Python;SQL,"Developer, back-end",9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
6016,"Iran, Islamic Republic of...",540000000,IRR	Iranian rial,6,HTML/CSS;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, but I plan to soon"
6017,United Kingdom of Great Britain and Northern Ireland,150000,GBP	Pound sterling,35,C#;Java;JavaScript,Dart,"Developer, full-stack",6,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,45-54 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
6018,Romania,54000,RON	Romanian leu,1,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,"Developer, front-end",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,18-24 years old,"Employed, full-time;Student, part-time",Yes
6019,United States of America,130000,USD	United States dollar,1,Java;JavaScript;TypeScript,JavaScript;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",18-24 years old,"Employed, full-time",Yes
6020,France,80000,EUR European Euro,10,JavaScript;Python;Scala,Scala,Data engineer,8,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
6021,Greece,20000,EUR European Euro,1,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Julia;PowerShell;Python;Ruby;Rust;Swift;TypeScript;Visual Basic (.Net),"Developer, full-stack",0,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
6022,Slovakia,,,14,Java,Java;JavaScript;TypeScript,"Developer, back-end",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Not employed, but looking for work",Yes
6023,Portugal,,,,Bash/Shell (all shells);C;Go;Java;Ruby;Scala,Bash/Shell (all shells);C++;Clojure;Crystal;Elixir;F#;Haskell;Nim;Ruby;Scala,Student,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Student, full-time","No, and I don't plan to"
6024,Argentina,,,,Python;Rust,Python;Rust,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time",Yes
6025,South Africa,984000,ZAR	South African rand,18,C#;Dart;JavaScript;SQL;TypeScript,C#;Dart;JavaScript;SQL;TypeScript,"Developer, full-stack",2,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,45-54 years old,"Employed, full-time",Yes
6026,United States of America,235000,USD	United States dollar,8,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);C;Go;Kotlin;Nim;Python;SQL;Swift,"Developer, full-stack",0,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",35-44 years old,"Employed, full-time",Yes
6027,United States of America,,,,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),Assembly,"Developer, desktop or enterprise applications",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,65 years or older,Retired,Yes
6028,Russian Federation,3600000,RUB	Russian ruble,22,C;C++;Delphi,C++;Go;Rust;Zig,"Developer, embedded applications or devices",5,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,35-44 years old,"Employed, full-time",Yes
6029,Czech Republic,2000000,CZK	Czech koruna,11,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Scala;SQL,OCaml;Rust;Scala;SQL,"Developer, back-end",9,Remote,Some college/university study without earning a degree,20 to 99 employees,35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
6030,India,1380000,INR	Indian rupee,3,PowerShell;Python;R;SQL,PowerShell;Python;Rust;Scala;SQL,Data engineer,6,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",18-24 years old,"Employed, full-time",Yes
6031,India,,,Less than 1 year,C++;Dart;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,C#;C++;Dart;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time",Yes
6032,Denmark,900000,DKK	Danish krone,4,OCaml;Python;SQL,OCaml;Scala;SQL,Data scientist or machine learning specialist,,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time","No, and I don't plan to"
6033,United States of America,,,28,C;C#;Dart;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;Rust;SQL;TypeScript;Visual Basic (.Net),Cobol;Crystal;Elixir;F#;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,"Developer, full-stack",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,45-54 years old,"Not employed, but looking for work","No, and I don't plan to"
6034,Germany,72000,EUR European Euro,8,Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;Lua;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time;Employed, part-time","No, and I don't plan to"
6035,United States of America,190000,USD	United States dollar,10,HTML/CSS;JavaScript;OCaml;TypeScript,Clojure;Elixir;Erlang;F#;Go;Haskell;HTML/CSS;Lisp;OCaml;Rust;Scala,Engineering manager,4,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,100 to 499 employees,35-44 years old,"Employed, full-time",Yes
6036,Algeria,44000,EUR European Euro,4,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Assembly;Bash/Shell (all shells);C;C#;C++;Go;Haskell;JavaScript;Python;SQL,System administrator,,Remote,Some college/university study without earning a degree,2 to 9 employees,25-34 years old,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Yes
6037,Ecuador,,,,Bash/Shell (all shells);Go;HTML/CSS;Kotlin;Python;Ruby;Scala,Bash/Shell (all shells);C#;C++;Crystal;Elixir;Go;HTML/CSS;Java;Nim;Python;Ruby;Scala;Zig,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time;Not employed, but looking for work","No, and I don't plan to"
6038,Ukraine,900,UAH	Ukrainian hryvnia,3,JavaScript;TypeScript,JavaScript;TypeScript,"Developer, front-end",6,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
6039,France,34000,EUR European Euro,Less than 1 year,Java,Bash/Shell (all shells);JavaScript;Kotlin;Python;TypeScript,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,18-24 years old,"Employed, full-time",Yes
6040,Nomadic,,,8,Bash/Shell (all shells);Python;R;SQL;VBA,Bash/Shell (all shells);C;Haskell;Lisp;Lua;Python;R;SQL,Research & Development role,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Not employed, and not looking for work","No, and I don't plan to"
6041,Netherlands,,,,Bash/Shell (all shells);C++;Dart;HTML/CSS;Java;JavaScript;MicroPython;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;MicroPython;Python;SQL;TypeScript,Student,,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time",Yes
6042,Germany,69000,EUR European Euro,27,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;Python;Rust;SQL,"Developer, back-end",,Remote,Some college/university study without earning a degree,100 to 499 employees,45-54 years old,"Employed, full-time","No, and I don't plan to"
6043,France,,EUR European Euro,9,JavaScript,JavaScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,25-34 years old,"Employed, full-time",Yes
6044,Pakistan,85000,USD	United States dollar,32,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL;TypeScript,Rust,"Senior Executive (C-Suite, VP, etc.)",9,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,45-54 years old,"Employed, full-time",Yes
6045,Ethiopia,500000,ETB	Ethiopian birr,3,HTML/CSS;Python,JavaScript;TypeScript,"Developer, back-end",9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
6046,Romania,,RON	Romanian leu,9,Dart;Groovy;Java;SQL,Dart;Groovy;Java;SQL,"Developer, back-end",9,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
6047,Togo,,XOF	West African CFA franc,3,Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, front-end",,In-person,Some college/university study without earning a degree,20 to 99 employees,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Yes
6048,"Iran, Islamic Republic of...",,USD	United States dollar,10,C#;HTML/CSS;JavaScript;Rust;Solidity;SQL;TypeScript,,"Developer, full-stack",,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",25-34 years old,"Independent contractor, freelancer, or self-employed",Yes
6049,United Kingdom of Great Britain and Northern Ireland,,GBP	Pound sterling,40,C;C++;HTML/CSS;JavaScript;Objective-C;Python;Swift,HTML/CSS;Python;Ruby;Swift,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,55-64 years old,"Employed, full-time","No, and I don't plan to"
6050,Italy,,EUR European Euro,16,C#;R;SQL;VBA;Visual Basic (.Net),Python;SQL,Data engineer,,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",35-44 years old,"Employed, full-time","No, and I don't plan to"
6051,Greece,,EUR European Euro,12,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;SQL;Swift,"Developer, full-stack",,Remote,Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
6052,Poland,450000,PLN	Polish zloty,10,Bash/Shell (all shells);C++;Dart;Go;HTML/CSS;Java;Kotlin;Lua;Python;R;Rust;Swift;TypeScript,Ada;Clojure;Crystal;Dart;Elixir;Erlang;F#;Go;Haskell;Kotlin;OCaml;Prolog;Python;Swift;Zig,"Developer, full-stack",,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time;Student, full-time",Yes
6053,Germany,76000,EUR European Euro,10,Dart,Dart,"Developer, mobile",2,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time",Yes
6054,United States of America,,USD	United States dollar,15,HTML/CSS;JavaScript;Kotlin;PHP;SQL,,"Developer, full-stack",7,In-person,Some college/university study without earning a degree,20 to 99 employees,45-54 years old,"Employed, full-time","No, and I don't plan to"
6055,Peru,200000,PEN	Peruvian sol,15,C#;HTML/CSS;JavaScript,C#;TypeScript,"Developer, full-stack",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
6056,United Kingdom of Great Britain and Northern Ireland,,GBP	Pound sterling,6,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Python,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Python,Academic researcher,4,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
6057,United States of America,170000,USD	United States dollar,38,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),C#;Dart;Go;JavaScript;SQL;TypeScript,"Developer, desktop or enterprise applications",8,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,20 to 99 employees,55-64 years old,"Employed, full-time",Yes
6058,United States of America,150000,USD	United States dollar,12,Bash/Shell (all shells);C#;C++;Go;JavaScript;Kotlin;Objective-C;PHP;PowerShell;Python;Rust;SQL;Swift;TypeScript,Bash/Shell (all shells);C#;C++;Elixir;Go;JavaScript;Kotlin;Objective-C;PowerShell;Python;Rust;Swift;Zig,"Developer, full-stack",8,Remote,Some college/university study without earning a degree,20 to 99 employees,35-44 years old,"Employed, full-time",Yes
6059,United States of America,110000,USD	United States dollar,2,Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,"Developer, full-stack",9,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",18-24 years old,"Employed, full-time",Yes
6060,Poland,300000,PLN	Polish zloty,10,Bash/Shell (all shells);JavaScript;Lua;Ruby;SQL;TypeScript,Bash/Shell (all shells);Crystal;Dart;Go;Lua;Ruby;SQL;TypeScript;Zig,"Developer, back-end",1,Remote,"Associate degree (A.A., A.S., etc.)",10 to 19 employees,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
6061,Czech Republic,1400000,CZK	Czech koruna,10,C++;Python;Rust,C++;Rust,"Developer, embedded applications or devices",8,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,35-44 years old,"Employed, full-time",Yes
6062,United States of America,184000,USD	United States dollar,39,Bash/Shell (all shells);C;C++;HTML/CSS;Java;Python,C++;HTML/CSS;Python,"Developer, embedded applications or devices",,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",65 years or older,"Employed, full-time","No, and I don't plan to"
6063,Turkey,25000,TRY	Turkish lira,11,Bash/Shell (all shells);C;C++;Go;Java;Kotlin;Python,C;C++;Rust,"Developer, game or graphics",5,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",25-34 years old,"Employed, full-time","No, and I don't plan to"
6064,United States of America,240000,USD	United States dollar,36,C#;JavaScript;PowerShell;SQL;TypeScript,C#;JavaScript;PowerShell;SQL;TypeScript,"Developer, back-end",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",55-64 years old,"Employed, full-time","No, and I don't plan to"
6065,India,135000,USD	United States dollar,9,JavaScript;TypeScript,JavaScript;TypeScript,Developer Experience,,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",25-34 years old,"Independent contractor, freelancer, or self-employed",Yes
6066,Russian Federation,,RUB	Russian ruble,4,Bash/Shell (all shells);JavaScript;SQL;TypeScript,Go;SQL,"Developer, back-end",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
6067,Turkey,,TRY	Turkish lira,4,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;Go;Rust,"Developer, back-end",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
6068,Sweden,672000,SEK	Swedish krona,11,C#;HTML/CSS;Java;JavaScript;SQL,HTML/CSS;JavaScript,"Developer, full-stack",9,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",25-34 years old,"Employed, full-time",Yes
6069,"Iran, Islamic Republic of...",18000,USD	United States dollar,6,Bash/Shell (all shells);C;C++;Crystal;Dart;Go;Haskell;JavaScript;Kotlin;Objective-C;Python;Ruby;Rust;Swift;TypeScript;Zig,Bash/Shell (all shells);C;C++;Crystal;Dart;Go;Haskell;JavaScript;Swift;TypeScript,"Senior Executive (C-Suite, VP, etc.)",5,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,25-34 years old,"Employed, full-time",Yes
6070,United States of America,320000,USD	United States dollar,11,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,"Developer, full-stack",10,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",25-34 years old,"Employed, full-time","No, but I plan to soon"
6071,Belgium,200000,EUR European Euro,25,HTML/CSS;Java;JavaScript;MicroPython;Rust;Scala,Rust;Scala,"Developer, back-end",,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",2 to 9 employees,55-64 years old,"Independent contractor, freelancer, or self-employed",Yes
6072,Argentina,60000,USD	United States dollar,10,C#;JavaScript;SQL;TypeScript;Visual Basic (.Net),C#;JavaScript;Scala;SQL;TypeScript,"Developer, full-stack",,Remote,Some college/university study without earning a degree,"10,000 or more employees",25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
6073,United Kingdom of Great Britain and Northern Ireland,48000,GBP	Pound sterling,10,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",10,Remote,Some college/university study without earning a degree,10 to 19 employees,25-34 years old,"Employed, full-time",Yes
6074,United States of America,102000,USD	United States dollar,4,HTML/CSS;Java;JavaScript;Kotlin;TypeScript,Kotlin;Rust;TypeScript;Zig,"Developer, full-stack",3,Remote,Some college/university study without earning a degree,20 to 99 employees,35-44 years old,"Employed, full-time",Yes
6075,United States of America,,USD	United States dollar,38,Python,Python,"Developer, back-end",10,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,55-64 years old,"Employed, full-time",Yes
6076,United Kingdom of Great Britain and Northern Ireland,45000,GBP	Pound sterling,5,C#;PowerShell;SQL,,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
6077,Germany,,EUR European Euro,40,C;HTML/CSS;JavaScript;Objective-C;PHP;Swift,C;Objective-C;PHP;Swift,"Developer, mobile",9,Remote,Some college/university study without earning a degree,2 to 9 employees,55-64 years old,"Independent contractor, freelancer, or self-employed",Yes
6078,Canada,,,3,Bash/Shell (all shells);Fortran;Python,Bash/Shell (all shells);Python,Student,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Student, full-time","No, and I don't plan to"
6079,Canada,90000,CAD	Canadian dollar,4,Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;TypeScript,Ada;Assembly;Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;Kotlin;TypeScript,"Developer, full-stack",7,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
6080,Germany,6000,EUR European Euro,Less than 1 year,HTML/CSS;Rust;TypeScript,HTML/CSS;TypeScript;Zig,"Developer, back-end",,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",18-24 years old,"Student, full-time;Independent contractor, freelancer, or self-employed",Yes
6081,Brazil,,,Less than 1 year,Assembly;C;Go;Lua;OCaml;Rust,Elixir;Go;OCaml;Rust;TypeScript;Zig,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Not employed, but looking for work","No, and I don't plan to"
6082,United Kingdom of Great Britain and Northern Ireland,25000,GBP	Pound sterling,1,HTML/CSS;JavaScript;TypeScript,HTML/CSS;TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,18-24 years old,"Employed, full-time;Student, full-time",Yes
6083,United States of America,,USD	United States dollar,8,Rust;SQL,Rust;SQL,"Developer, full-stack",,Remote,Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",35-44 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
6084,United States of America,0,USD	United States dollar,25,Elixir,Elixir,Other (please specify):,8,Remote,Some college/university study without earning a degree,20 to 99 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
6085,Canada,80000,CAD	Canadian dollar,2,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;MATLAB;Python;Rust;SQL;TypeScript,,"Developer, full-stack",7,Remote,Primary/elementary school,20 to 99 employees,Under 18 years old,"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Yes
6086,United States of America,,,Less than 1 year,C++;Haskell;HTML/CSS;Java;JavaScript;Python,C++;Haskell;JavaScript;Kotlin;OCaml;PowerShell;Python;Rust,Student,,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time","No, but I plan to soon"
6087,Czech Republic,1500000,CZK	Czech koruna,30,Elixir;HTML/CSS;Ruby,Elixir;HTML/CSS,"Developer, full-stack",,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",45-54 years old,"Independent contractor, freelancer, or self-employed",Yes
6088,United States of America,,,,Assembly;Bash/Shell (all shells);C;PowerShell,Assembly;Bash/Shell (all shells);C;Cobol;Fortran;Go;Nim;PowerShell,Other (please specify):,,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
6089,Germany,,EUR European Euro,4,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;Swift,Project manager,5,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",25-34 years old,"Employed, full-time",Yes
6090,United States of America,,USD	United States dollar,28,Bash/Shell (all shells);C#;Go;JavaScript;TypeScript,C#;Go;JavaScript;Rust;TypeScript,"Developer, back-end",8,Remote,Some college/university study without earning a degree,20 to 99 employees,45-54 years old,"Employed, full-time",Yes
6091,United States of America,,USD	United States dollar,20,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Python,"Developer, front-end",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,45-54 years old,"Employed, full-time",Yes
6092,New Zealand,170000,NZD	New Zealand dollar,34,Bash/Shell (all shells);Go,Bash/Shell (all shells);Dart;Go;Kotlin;Swift,Other (please specify):,0,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,"5,000 to 9,999 employees",45-54 years old,"Employed, full-time",Yes
6093,Brazil,180000,BRL	Brazilian real,Less than 1 year,Bash/Shell (all shells);C#;C++;Haskell;HTML/CSS;Java;JavaScript;PHP;Visual Basic (.Net),Ada;Apex;Assembly;C,Data or business analyst,,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",55-64 years old,"Employed, part-time","No, but I plan to soon"
6094,Germany,95000,EUR European Euro,16,Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Go;HTML/CSS;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
6095,Ukraine,1200000,UAH	Ukrainian hryvnia,2,JavaScript,JavaScript,"Developer, full-stack",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
6096,Palestine,18720,ILS	Israeli new shekel,5,Bash/Shell (all shells);Dart;Java;JavaScript;Kotlin;Objective-C;Python;SQL;Swift,Bash/Shell (all shells);Dart;Java;JavaScript;Kotlin;Objective-C;Python;SQL;Swift,"Developer, mobile",9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
6097,Switzerland,115000,CHF	Swiss franc,10,Elixir;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elixir;HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
6098,Brazil,,BRL	Brazilian real,20,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,,"Developer, embedded applications or devices",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time",Yes
6099,Poland,,PLN	Polish zloty,7,Go;Python,Go,"Developer, back-end",,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time","No, but I plan to soon"
6100,Canada,,,,C;HTML/CSS;Java;JavaScript;Lua;R,C;Go;HTML/CSS;JavaScript;Lua;R;Zig,Student,,In-person,Some college/university study without earning a degree,,18-24 years old,"Employed, full-time;Student, full-time",Yes
6101,United States of America,,,,Elixir;HTML/CSS;JavaScript,Clojure;Elixir;HTML/CSS;JavaScript;Lisp;Swift,Designer,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Not employed, but looking for work","No, and I don't plan to"
6102,Poland,,,Less than 1 year,Bash/Shell (all shells);C++;Dart;GDScript;HTML/CSS;JavaScript;Python;Rust,C;Python;Rust;Zig,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time",Yes
6103,Colombia,4330,COP	Colombian peso,3,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Swift;TypeScript,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",25-34 years old,"Independent contractor, freelancer, or self-employed",Yes
6104,Ukraine,3200000,UAH	Ukrainian hryvnia,19,Java,Go;Java;Python,"Developer, back-end",9,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time",Yes
