ID,Country,Country Standard,CompTotal,Currency,Salary in Rupees,YearsCodePro,LanguageHaveWorkedWith,NoOfSkills,LanguageWantToWorkWith,DevType,DevTypeNorm,RemoteWork ,RemoteWorkNorm ,EdLevel,OrgSize,OrgSizeNorm,Age,AgeNorm,Employment,AISelect,AiSelectNorm
6203,Bulgaria,Bulgaria,100000,BGN	Bulgarian lev,5502000,2,HTML/CSS;JavaScript;Python;SQL,4,C;C++,"Developer, back-end",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,60,18-24 years old,18,"Independent contractor, freelancer, or self-employed",Yes,1
6204,Canada,Canada,110000,CAD	Canadian dollar,6820000,5,C++;Go;JavaScript;Objective-C;Python;Rust;TypeScript,7,C++;Go;Rust;Zig,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
6205,Poland,Poland,300000,PLN	Polish zloty,6300000,22,C;C#;C++;HTML/CSS;Java;JavaScript;SQL,7,C;C#;HTML/CSS;Java;JavaScript;SQL,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,35-44 years old,35,"Independent contractor, freelancer, or self-employed",No,0
6206,United States of America,USA,73000,USD	United States dollar,6132000,7,JavaScript;PHP;SQL,3,PHP;Python;Ruby;SQL,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",No,0
6207,Finland,Finland,72000,EUR European Euro,6552000,10,Bash/Shell (all shells);Clojure;HTML/CSS;JavaScript;Python;SQL,6,Bash/Shell (all shells);Clojure;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
6208,Spain,Spain,220000,EUR European Euro,20020000,5,Bash/Shell (all shells);C;Perl,3,Bash/Shell (all shells);C,"Developer, back-end",,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,Prefer not to say,#N/A,"Employed, full-time;Independent contractor, freelancer, or self-employed",No,0
6209,United States of America,USA,160000,USD	United States dollar,13440000,23,Bash/Shell (all shells);Go;JavaScript;Python;Ruby;SQL,6,Bash/Shell (all shells);Crystal;Python;Ruby,"Developer, back-end",,Remote,2,Some college/university study without earning a degree,10 to 19 employees,15,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6210,United States of America,USA,230000,USD	United States dollar,19320000,14,Ada;Bash/Shell (all shells);C++;Python,4,Bash/Shell (all shells);C++;Go;Python;Rust,Engineering manager,,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
6211,Italy,Italy,160000,EUR European Euro,14560000,9,C;Go;HTML/CSS;JavaScript;PHP;SQL,6,C;Go;HTML/CSS;JavaScript;PHP;Rust;SQL;Zig,"Developer, full-stack",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
6212,United Kingdom of Great Britain and Northern Ireland,United Kingdom,75000,GBP	Pound sterling,7950000,4,Bash/Shell (all shells);Clojure;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,8,Bash/Shell (all shells);Clojure;Julia;Rust;SQL,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",No,0
6213,United States of America,USA,100000,USD	United States dollar,8400000,40,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),8,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,65 years or older,65,"Employed, full-time",Yes,1
6214,Finland,Finland,72000,EUR European Euro,6552000,11,Bash/Shell (all shells);Clojure;HTML/CSS;JavaScript;SQL,5,Bash/Shell (all shells);Clojure;HTML/CSS;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
6215,Brazil,Brazil,250000,BRL	Brazilian real,3750000,8,Clojure;Go,2,Elixir;Erlang;Go;Ruby;Rust,"Engineer, site reliability",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",Yes,1
6216,United States of America,USA,149000,USD	United States dollar,12516000,7,C#;HTML/CSS;Java;JavaScript;SQL,5,C#;HTML/CSS;Java;JavaScript;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6217,United States of America,USA,82000,USD	United States dollar,6888000,3,HTML/CSS;Java;JavaScript;Python;SQL,5,HTML/CSS;JavaScript;MATLAB;Python;SQL;TypeScript,Data engineer,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,300,25-34 years old,25,"Employed, full-time",No,0
6218,Sri Lanka,Sri Lanka,200000,SGD	Singapore dollar,14364000,10,Assembly;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),13,C#;Go;HTML/CSS;Java;JavaScript;R;Ruby;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100 to 499 employees,300,Prefer not to say,#N/A,"Employed, full-time",No,0
6219,United States of America,USA,121000,USD	United States dollar,10164000,6,Bash/Shell (all shells);Go;Python;SQL,4,C#;C++;Python;SQL,Data engineer,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",No,0
6220,United States of America,USA,150000,USD	United States dollar,12600000,4,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;Solidity;SQL;TypeScript;Visual Basic (.Net),10,Bash/Shell (all shells);C++;Go;JavaScript;Python;Rust;Swift;TypeScript,"Developer, front-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6221,United States of America,USA,199999,USD	United States dollar,16799916,7,C;C#;GDScript;HTML/CSS;JavaScript;TypeScript,6,C#;JavaScript;TypeScript;Zig,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
6222,United States of America,USA,175000,USD	United States dollar,14700000,27,C#;JavaScript;Python;TypeScript,4,C#;Elixir;F#;Rust,"Developer, full-stack",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",No,0
6223,United States of America,USA,174000,USD	United States dollar,14616000,7,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;TypeScript,9,Bash/Shell (all shells);C;Dart;HTML/CSS;Kotlin;Rust;SQL;Swift;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
6224,United States of America,USA,80000,USD	United States dollar,6720000,6,C#;HTML/CSS;Java;Objective-C;Python;SQL;Swift,7,C#;Rust;Swift,"Developer, game or graphics",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
6225,United States of America,USA,192000,USD	United States dollar,16128000,5,Clojure,1,Clojure,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",Yes,1
6226,United States of America,USA,75000,USD	United States dollar,6300000,2,Python;R,2,Python;R;Rust;SQL,Data or business analyst,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6227,United States of America,USA,150000,USD	United States dollar,12600000,5,Bash/Shell (all shells);JavaScript;Lua;Python;Rust;SQL,6,Bash/Shell (all shells);JavaScript;Python;Rust;TypeScript,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
6228,Germany,Germany,60000,EUR European Euro,5460000,10,Bash/Shell (all shells);HTML/CSS;Kotlin;Python;Rust,5,Bash/Shell (all shells);HTML/CSS;Python;Rust,Academic researcher,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",No,0
6229,United States of America,USA,115000,USD	United States dollar,9660000,5,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,6,C++;JavaScript;Kotlin;Python,"Developer, QA or test",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
6230,United States of America,USA,74000,USD	United States dollar,6216000,8,HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,5,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
6231,Spain,Spain,70000,EUR European Euro,6370000,15,C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,9,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,500 to 999 employees,750,35-44 years old,35,"Employed, full-time",Yes,1
6232,United States of America,USA,62400,USD	United States dollar,5241600,5,Bash/Shell (all shells);C;C#;GDScript;HTML/CSS;JavaScript;Lua;PHP;Python;SQL;TypeScript,11,Bash/Shell (all shells);C#;GDScript;HTML/CSS;JavaScript;Python;R;Rust;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
6233,United States of America,USA,122720,USD	United States dollar,10308480,10,C#;HTML/CSS;JavaScript;PowerShell;SQL,5,C#;HTML/CSS;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
6234,United States of America,USA,75000,USD	United States dollar,6300000,29,C#;Crystal;JavaScript;PowerShell;Ruby;SQL,6,C#;Crystal;Ruby;SQL,System administrator,,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",No,0
6235,Canada,Canada,160000,CAD	Canadian dollar,9920000,28,C#;Python;SQL,3,C#;Go;SQL,"Developer, game or graphics",,Remote,2,"Associate degree (A.A., A.S., etc.)",10 to 19 employees,15,45-54 years old,45,"Employed, full-time",Yes,1
6236,United States of America,USA,105000,USD	United States dollar,8820000,5,Bash/Shell (all shells);Python;SQL,3,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",No,0
6237,Germany,Germany,80000,EUR European Euro,7280000,5,C;C#;C++;HTML/CSS;JavaScript;Kotlin;MicroPython;Python;TypeScript,9,C#;HTML/CSS;JavaScript;MicroPython;Python;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
6238,United Kingdom of Great Britain and Northern Ireland,United Kingdom,120000,GBP	Pound sterling,12720000,15,Bash/Shell (all shells);Clojure;HTML/CSS;Java;JavaScript;Lisp;PHP;Python;Ruby;SQL;TypeScript,11,Bash/Shell (all shells);Clojure;Elixir;Erlang;HTML/CSS;Lisp;Ruby;Rust;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",Yes,1
6239,United States of America,USA,110000,USD	United States dollar,9240000,7,Bash/Shell (all shells);Java;Python;SQL,4,Python;Rust;SQL;Swift;TypeScript,Data engineer,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
6240,Germany,Germany,80000,EUR European Euro,7280000,8,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;TypeScript,7,C#;HTML/CSS;JavaScript;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6241,Finland,Finland,63000,EUR European Euro,5733000,26,Clojure;HTML/CSS;Java;JavaScript;SQL;TypeScript,6,Clojure;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,45-54 years old,45,"Employed, full-time",Yes,1
6242,United States of America,USA,155000,USD	United States dollar,13020000,30,Assembly;Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA;Visual Basic (.Net),12,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,"10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",Yes,1
6243,United States of America,USA,115000,USD	United States dollar,9660000,6,Bash/Shell (all shells);Groovy;Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript,8,Go;Kotlin;Perl;SQL;TypeScript;Zig,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
6244,Poland,Poland,234000,PLN	Polish zloty,4914000,12,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;PowerShell;Swift;TypeScript,8,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;PowerShell;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
6245,United Kingdom of Great Britain and Northern Ireland,United Kingdom,63525,GBP	Pound sterling,6733650,7,Dart;HTML/CSS;JavaScript;Objective-C;Swift;TypeScript,6,C++;Kotlin;Swift;TypeScript,"Developer, mobile",,Remote,2,Some college/university study without earning a degree,10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
6246,Germany,Germany,80300,EUR European Euro,7307300,12,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,6,Bash/Shell (all shells);HTML/CSS;JavaScript;Julia;Kotlin;Python;Rust;SQL;TypeScript,Cloud infrastructure engineer,,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6247,United Kingdom of Great Britain and Northern Ireland,United Kingdom,120000,GBP	Pound sterling,12720000,11,Go;Java;JavaScript;Kotlin;TypeScript,5,Go;TypeScript,Other (please specify):,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Independent contractor, freelancer, or self-employed",Yes,1
6248,United States of America,USA,350000,USD	United States dollar,29400000,12,Bash/Shell (all shells);Java;Python;Rust,4,Java;Python;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,"10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6249,United Kingdom of Great Britain and Northern Ireland,United Kingdom,65000,GBP	Pound sterling,6890000,45,Bash/Shell (all shells);C;C++;Lua;Python;SQL,6,C++;Lua;Python;Rust,"Developer, embedded applications or devices",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,65 years or older,65,"Employed, full-time",No,0
6250,United Kingdom of Great Britain and Northern Ireland,United Kingdom,100000,GBP	Pound sterling,10600000,21,Bash/Shell (all shells);JavaScript;TypeScript,3,Elixir;Python;Rust;TypeScript,"Developer, front-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
6251,Brazil,Brazil,150000,BRL	Brazilian real,2250000,5,Bash/Shell (all shells);Python,2,Bash/Shell (all shells);Python,"Developer, back-end",,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
6252,Canada,Canada,139000,CAD	Canadian dollar,8618000,13,C#;HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;SQL;TypeScript,10,HTML/CSS;JavaScript;Python;SQL,Data or business analyst,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
6253,United States of America,USA,156000,USD	United States dollar,13104000,25,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Ruby;SQL,6,C#;SQL,"Developer, back-end",,Remote,2,Some college/university study without earning a degree,20 to 99 employees,60,55-64 years old,55,"Employed, full-time",No,0
6254,United States of America,USA,170000,USD	United States dollar,14280000,6,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,7,Go;Ruby,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Yes,1
6255,Netherlands,Netherlands,90000,EUR European Euro,8190000,12,Bash/Shell (all shells);C;C#;F#;Kotlin;Swift,6,Kotlin,"Developer, mobile",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
6256,United Kingdom of Great Britain and Northern Ireland,United Kingdom,86000,GBP	Pound sterling,9116000,5,Bash/Shell (all shells);C#;C++;Go;Java;JavaScript;Python;Rust;Scala;SQL,10,Bash/Shell (all shells);C++;Go;Haskell;Java;JavaScript;Kotlin;OCaml;Python;Rust;Scala,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,18-24 years old,18,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6257,United States of America,USA,95000,USD	United States dollar,7980000,8,Bash/Shell (all shells);Go;Python;Ruby,4,Bash/Shell (all shells);Go;Python,DevOps specialist,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
6258,Brazil,Brazil,150000,BRL	Brazilian real,2250000,19,C++;Dart;Java;Kotlin,4,C++;Java;Kotlin,"Developer, mobile",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6259,Canada,Canada,107000,CAD	Canadian dollar,6634000,10,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;TypeScript,7,C++;F#;GDScript;Lua;Rust;Zig,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6260,United States of America,USA,100000,USD	United States dollar,8400000,7,HTML/CSS;JavaScript;Python;R;TypeScript,5,C++;HTML/CSS;JavaScript;Julia;Python;R;SQL;TypeScript,Scientist,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
6261,United States of America,USA,82000,USD	United States dollar,6888000,3,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,7,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
6262,Germany,Germany,93000,EUR European Euro,8463000,15,Bash/Shell (all shells);Groovy;Java;PowerShell;SQL,5,Bash/Shell (all shells);Go;Java;SQL,"Developer, back-end",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
6263,United States of America,USA,280000,USD	United States dollar,23520000,27,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;SQL,8,Clojure;Go;Lisp;Rust;Scala;Zig,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,45-54 years old,45,"Employed, full-time",Yes,1
6264,Canada,Canada,150000,CAD	Canadian dollar,9300000,16,Bash/Shell (all shells);C;C++;Python,4,C++;Go;Python,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
6265,United States of America,USA,150000,USD	United States dollar,12600000,16,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,7,C#;HTML/CSS;PowerShell;Python;Rust,"Developer, AI",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
6266,United States of America,USA,135000,USD	United States dollar,11340000,12,Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,9,Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
6267,Spain,Spain,82000,EUR European Euro,7462000,10,R;SQL,2,Python;SQL,Project manager,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
6268,Brazil,Brazil,120000,BRL	Brazilian real,1800000,33,Groovy;Python;Rust,3,Rust,"Developer, QA or test",,In-person,0,Some college/university study without earning a degree,20 to 99 employees,60,45-54 years old,45,"Employed, full-time",No,0
6269,Brazil,Brazil,200000,BRL	Brazilian real,3000000,10,Clojure;Go;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL,9,Clojure;Go,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
6270,United States of America,USA,90000,USD	United States dollar,7560000,12,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL,5,TypeScript,"Developer, desktop or enterprise applications",,Remote,2,Some college/university study without earning a degree,"5,000 to 9,999 employees",7500,35-44 years old,35,"Employed, full-time",Yes,1
6271,Poland,Poland,210000,PLN	Polish zloty,4410000,13,JavaScript;Lisp;TypeScript,3,JavaScript;Lisp;TypeScript,"Developer, front-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
6272,United States of America,USA,162000,USD	United States dollar,13608000,3,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,6,HTML/CSS;Python;Rust;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
6273,United Kingdom of Great Britain and Northern Ireland,United Kingdom,180000,GBP	Pound sterling,19080000,7,HTML/CSS;JavaScript;Python;SQL;TypeScript,5,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
6274,United States of America,USA,114254,USD	United States dollar,9597336,25,C#;SQL,2,C#;C++;F#;JavaScript;PHP;Python;SQL,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,Prefer not to say,#N/A,"Employed, full-time",No,0
6275,United States of America,USA,110000,USD	United States dollar,9240000,10,C#;HTML/CSS;JavaScript;SQL;TypeScript,5,Python,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
6276,United States of America,USA,180000,USD	United States dollar,15120000,12,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MicroPython;Python;SQL,7,Java;MicroPython;Python;Rust;SQL,"Senior Executive (C-Suite, VP, etc.)",,In-person,0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
6277,United States of America,USA,75000,USD	United States dollar,6300000,2,C#;F#;HTML/CSS;JavaScript;Python;SQL;Visual Basic (.Net),7,C#;Go;HTML/CSS;JavaScript;Kotlin;Lua;Python;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6278,Brazil,Brazil,110000,BRL	Brazilian real,1650000,6,C#;HTML/CSS;JavaScript;PHP;SQL,5,C#;HTML/CSS;JavaScript;PHP;SQL,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,18-24 years old,18,"Employed, full-time;Independent contractor, freelancer, or self-employed",No,0
6279,United States of America,USA,200000,USD	United States dollar,16800000,10,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,5,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",No,0
6280,United States of America,USA,210000,USD	United States dollar,17640000,30,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,6,C#;SQL,"Developer, back-end",,Remote,2,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,300,45-54 years old,45,"Employed, full-time",Yes,1
